id_contrat,num_contrat,id_client,ref_intermediaire,code_produit,libelle_produit,type_produit,statut_produit,code_regime_fiscal,code_etat_contrat,code_mode_gestion,prime_initiale,somme_versements,somme_rachats,valeur_rachat,valeur_acquise,date_souscription,date_effet_contrat,date_derniere_revue,date_prochaine_revue,flag_nantissement,flag_resynchro,nom_intermediaire,pays_intermediaire,type_intermediaire,score_lc189,risque_contrat,remediation_ouverte
BA000001,BA000001,CLI_0001,INT_0002,WEALIFE_BE,Wealins Life Belgium,AV,actif,AV,ENC,C,250000,283000,84000,260800,80600,2022-02-03,2022-02-03,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000002,BA000002,CLI_0001,INT_0002,WEALIFE_BE,Wealins Life Belgium,AV,actif,AV,TER,C,250000,250000,21000,269400,47000,2024-02-19,2024-02-19,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000003,BA000003,CLI_0002,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,TER,C,787000,787000,0,825700,195800,2024-05-02,2024-05-02,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000004,BA000004,CLI_0003,INT_0002,WEALIFE_BE,Wealins Life Belgium,AV,actif,AV,ENC,C,719000,870000,0,949700,257300,2025-11-05,2025-11-05,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000005,BA000005,CLI_0004,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,C,250000,250000,26000,321900,68400,2019-07-05,2019-07-05,,,False,False,Valoria Capital,France,courtier,0,LOW,True
BA000006,BA000006,CLI_0004,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,TER,C,250000,307000,0,272600,51400,2022-02-25,2022-02-25,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000007,BA000007,CLI_0004,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,287000,313000,0,293800,56800,2020-02-16,2020-02-16,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000008,BA000008,CLI_0005,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,250000,250000,40000,296100,80800,2019-10-01,2019-10-01,,,True,True,Valoria Capital,France,courtier,0,LOW,False
BA000009,BA000009,CLI_0006,INT_0007,WEALIFE_PT,Wealins Life Portugal,AV,actif,AV,ENC,C,672000,672000,0,636300,166700,2024-03-15,2024-03-15,,,False,False,Porto Investimentos,Portugal,courtier,0,LOW,False
BA000010,BA000010,CLI_0007,INT_0002,WEALIFE_BE,Wealins Life Belgium,AV,actif,AV,ENC,C,437000,616000,0,714200,219800,2022-09-01,2022-09-01,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,True
BA000011,BA000011,CLI_0008,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,1452000,1452000,0,2103700,710800,2021-05-26,2021-05-26,,,False,True,Valoria Capital,France,courtier,0,LOW,False
BA000012,BA000012,CLI_0009,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,SUS,C,354000,490000,64000,532000,148100,2019-07-08,2019-07-08,,,False,False,Valoria Capital,France,courtier,0,LOW,True
BA000013,BA000013,CLI_0010,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,L,302000,347000,0,478400,143600,2021-02-25,2021-02-25,,,True,False,Valoria Capital,France,courtier,0,LOW,False
BA000014,BA000014,CLI_0011,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,C,250000,309000,29000,333200,115500,2018-08-28,2018-08-28,,,True,False,Valoria Capital,France,courtier,0,LOW,False
BA000015,BA000015,CLI_0011,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,L,250000,310000,0,439000,101200,2022-06-30,2022-06-30,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000016,BA000016,CLI_0012,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,L,250000,250000,67000,179100,53600,2026-03-07,2026-03-07,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000017,BA000017,CLI_0012,INT_0001,WEALIFE_FR,Wealins Life France,AV,actif,AV,ENC,C,250000,289000,0,357500,55100,2026-05-31,2026-05-31,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000018,BA000018,CLI_0013,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,1025000,1140000,0,1189700,244800,2019-01-18,2019-01-18,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000019,BA000019,CLI_0013,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,C,972000,972000,0,1176000,258500,2025-02-02,2025-02-02,,,False,False,Valoria Capital,France,courtier,0,LOW,True
BA000020,BA000020,CLI_0013,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,L,803000,803000,0,865400,270200,2023-12-22,2023-12-22,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000021,BA000021,CLI_0014,INT_0004,WEALIFE_IT,Wealins Life Italy +,AV,actif,AV,ENC,C,250000,250000,31000,274900,51500,2022-08-23,2022-08-23,,,False,False,Milano Fiduciaria,Italy,fiduciaire,0,LOW,False
BA000022,BA000022,CLI_0014,INT_0004,WEALIFE_IT,Wealins Life Italy +,AV,actif,AV,TER,C,416000,509000,98000,440100,123000,2018-08-29,2018-08-29,,,False,False,Milano Fiduciaria,Italy,fiduciaire,0,LOW,False
BA000023,BA000023,CLI_0015,INT_0002,EPLAT_BE,ePlatinum Belgium,AV,actif,AV,ENC,C,429000,429000,149000,342300,84400,2024-08-29,2024-08-29,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000024,BA000024,CLI_0016,INT_0002,WEALIFE_BE,Wealins Life Belgium,AV,actif,AV,ENC,C,250000,250000,0,304500,55700,2019-11-01,2019-11-01,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000025,BA000025,CLI_0016,INT_0002,WEALIFE_BE,Wealins Life Belgium,AV,actif,AV,ENC,C,250000,265000,93000,165200,36200,2025-07-20,2025-07-20,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000026,BA000026,CLI_0016,INT_0002,EPLAT_BE,ePlatinum Belgium,AV,actif,AV,ENC,C,250000,333000,71000,346400,52300,2019-03-08,2019-03-08,,,False,False,Patrimoine & Conseil,Belgium,courtier,0,LOW,False
BA000027,BA000027,CLI_0017,INT_0001,WEACAP_FR,Wealins Capi France,CAP,actif,CAP,ENC,L,418000,447000,151000,283000,86200,2020-06-10,2020-06-10,,,False,False,Valoria Capital,France,courtier,0,LOW,False
BA000028,BA000028,CLI_0018,INT_0007,WEALIFE_PT,Wealins Life Portugal,AV,actif,AV,ENC,C,250000,301000,0,323200,101700,2025-06-11,2025-06-11,,,False,False,Porto Investimentos,Portugal,courtier,0,LOW,False
