id_support,ref_support,id_contrat,code_isin,designation,type_fonds,juridiction,risque_juridiction,liquidite,est_offshore,montant_euro,nombre_parts,valeur_cotation_euro,poids_pct,flag_mandat_gestion,date_valorisation
SUP_000001,FID_BNP,BA000001,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,18900,199.35,94.810106,7.24,True,2026-08-03
SUP_000002,FR0010392225,BA000001,FR0010392225,Varenne Capital Partners,OPCVM,France,FAIBLE,haute,False,11400,85.17,133.850718,4.36,True,2026-07-14
SUP_000003,FR0010392225,BA000001,FR0010392225,Varenne Capital Partners,OPCVM,France,FAIBLE,haute,False,104200,730.76,142.591577,39.97,True,2026-07-17
SUP_000004,LU0104884860,BA000001,LU0104884860,Pictet-Water P EUR,OPCVM,Luxembourg,FAIBLE,haute,False,126300,860.14,146.837075,48.42,True,2026-07-13
SUP_000005,FAS_ROT,BA000002,FAS_ROT,Rothschild & Co Gestion FAS,FAS,Luxembourg,FAIBLE,moyenne,False,3000,21.38,140.335195,1.13,True,2026-07-09
SUP_000006,FR0010392225,BA000002,FR0010392225,Varenne Capital Partners,OPCVM,France,FAIBLE,haute,False,261300,1943.04,134.479985,96.99,True,2026-07-10
SUP_000007,FR001400OJI4,BA000002,FR001400OJI4,DNCA Flexibonds C,OPCVM,France,FAIBLE,haute,False,5100,52.87,96.464544,1.88,True,2026-07-10
SUP_000008,FID_BNP,BA000003,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,319500,2699.7,118.346289,38.7,True,2026-07-14
SUP_000009,LU0255977539,BA000003,LU0255977539,Pictet-Biotech R EUR,OPCVM,Luxembourg,FAIBLE,haute,False,506200,4431.3,114.232735,61.3,True,2026-07-31
SUP_000010,FID_BNP,BA000004,FID_BNP,BNP Paribas Wealth FID,FID,Luxembourg,FAIBLE,faible,False,949700,7631.58,124.443413,100.0,True,2026-07-30
SUP_000011,FID_UBS,BA000005,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,321900,3964.79,81.189577,100.0,True,2026-07-27
SUP_000012,FID_UBS,BA000006,FID_UBS,UBS Luxembourg FID Patrimoine,FID,Luxembourg,FAIBLE,faible,False,272600,2785.23,97.873531,100.0,True,2026-08-01
