id_role,id_contrat,id_client,code_role,libelle_role
ROLE_000001,BA000001,CLI_0001,S,Souscripteur / Preneur
ROLE_000002,BA000001,CLI_0001,B,Bénéficiaire en cas de décès
ROLE_000003,BA000002,CLI_0001,S,Souscripteur / Preneur
ROLE_000004,BA000002,CLI_0001,A,Assuré
ROLE_000005,BA000002,CLI_0001,B,Bénéficiaire en cas de décès
ROLE_000006,BA000003,CLI_0002,S,Souscripteur / Preneur
ROLE_000007,BA000003,CLI_0002,A,Assuré
ROLE_000008,BA000003,CLI_0002,B,Bénéficiaire en cas de décès
ROLE_000009,BA000004,CLI_0003,S,Souscripteur / Preneur
ROLE_000010,BA000004,CLI_0003,A,Assuré
ROLE_000011,BA000004,CLI_0003,B,Bénéficiaire en cas de décès
ROLE_000012,BA000005,CLI_0004,S,Souscripteur / Preneur
ROLE_000013,BA000005,CLI_0004,A,Assuré
ROLE_000014,BA000005,CLI_0004,B,Bénéficiaire en cas de décès
ROLE_000015,BA000006,CLI_0004,S,Souscripteur / Preneur
ROLE_000016,BA000006,CLI_0004,A,Assuré
ROLE_000017,BA000006,CLI_0004,B,Bénéficiaire en cas de décès
ROLE_000018,BA000007,CLI_0004,S,Souscripteur / Preneur
ROLE_000019,BA000007,CLI_0004,A,Assuré
ROLE_000020,BA000007,CLI_0004,B,Bénéficiaire en cas de décès
ROLE_000021,BA000008,CLI_0005,S,Souscripteur / Preneur
ROLE_000022,BA000008,CLI_0005,A,Assuré
ROLE_000023,BA000008,CLI_0005,B,Bénéficiaire en cas de décès
ROLE_000024,BA000009,CLI_0006,S,Souscripteur / Preneur
ROLE_000025,BA000009,CLI_0006,A,Assuré
ROLE_000026,BA000009,CLI_0006,B,Bénéficiaire en cas de décès
ROLE_000027,BA000010,CLI_0007,S,Souscripteur / Preneur
ROLE_000028,BA000010,CLI_0007,A,Assuré
ROLE_000029,BA000010,CLI_0007,B,Bénéficiaire en cas de décès
ROLE_000030,BA000011,CLI_0008,S,Souscripteur / Preneur
ROLE_000031,BA000011,CLI_0008,A,Assuré
ROLE_000032,BA000011,CLI_0008,B,Bénéficiaire en cas de décès
