id_transaction,id_contrat,code_type_evt,libelle_evt,code_statut_evt,date_effet,date_execution,montant_total_brut,montant_total_net,montant_frais,plus_value_taxable,devise,pays_banque_origine,pays_banque_dest,est_tiers_payeur,perte_acceptee,montant_penalite,flag_atypique,fonds_source,fonds_cible,est_suspect
EVT_000001,BA000001,OUV,Ouverture / Souscription,VAL,2022-02-03,2022-02-03,250000.0,250000.0,0.0,0.0,EUR,Belgium,,False,False,0.0,False,,,False
EVT_000002,BA000001,VLC,Versement libre complémentaire,VAL,2025-07-26,2025-07-26,16000.0,16000.0,0.0,0.0,EUR,Belgium,,True,False,0.0,False,,,False
EVT_000003,BA000001,VLC,Versement libre complémentaire,VAL,2025-12-30,2025-12-30,16000.0,16000.0,0.0,0.0,EUR,Belgium,,False,False,0.0,False,,,False
EVT_000004,BA000001,RAP,Rachat partiel,VAL,2022-12-18,2022-12-18,-84000.0,-84000.0,0.0,4118.87,EUR,Belgium,Belgium,False,False,0.0,False,,,False
EVT_000005,BA000002,OUV,Ouverture / Souscription,VAL,2024-02-19,2024-02-19,250000.0,250000.0,0.0,0.0,EUR,Belgium,,False,False,0.0,False,,,False
EVT_000006,BA000002,ARB,Arbitrage entre fonds,VAL,2027-03-27,2027-03-27,30000.0,30000.0,0.0,0.0,EUR,,,False,False,0.0,False,FR0010392225,FAS_ROT,False
EVT_000007,BA000002,RAP,Rachat partiel,VAL,2026-07-22,2026-07-22,-10000.0,-10000.0,0.0,1094.6,EUR,Belgium,Belgium,False,False,0.0,False,,,False
EVT_000008,BA000002,RAP,Rachat partiel,VAL,2028-12-26,2028-12-26,-10000.0,-10000.0,0.0,395.95,EUR,Belgium,Belgium,False,False,0.0,False,,,False
EVT_000009,BA000003,OUV,Ouverture / Souscription,VAL,2024-05-02,2024-05-02,787000.0,787000.0,0.0,0.0,EUR,France,,False,False,0.0,False,,,False
EVT_000010,BA000004,OUV,Ouverture / Souscription,VAL,2025-11-05,2025-11-05,719000.0,719000.0,0.0,0.0,EUR,Belgium,,False,False,0.0,False,,,False
EVT_000011,BA000004,VLC,Versement libre complémentaire,VAL,2026-08-21,2026-08-21,151000.0,151000.0,0.0,0.0,EUR,Belgium,,False,False,0.0,False,,,False
EVT_000012,BA000005,OUV,Ouverture / Souscription,VAL,2019-07-05,2019-07-05,250000.0,250000.0,0.0,0.0,EUR,France,,False,False,0.0,False,,,False
EVT_000013,BA000005,RAP,Rachat partiel,VAL,2021-11-21,2021-11-21,-13000.0,-13000.0,0.0,1701.96,EUR,France,France,False,False,0.0,False,,,False
EVT_000014,BA000005,RAP,Rachat partiel,VAL,2023-07-30,2023-07-30,-13000.0,-13000.0,0.0,585.12,EUR,France,France,False,False,0.0,False,,,False
EVT_000015,BA000006,OUV,Ouverture / Souscription,VAL,2022-02-25,2022-02-25,250000.0,250000.0,0.0,0.0,EUR,France,,False,False,0.0,False,,,False
